date,day,aircraft,helicopter,tank,APC,field artillery,BUK,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare
2022-02-26,3,27,26,146,706,49,1,4,30,60,2,2,0
2022-02-28,5,29,29,150,816,74,1,21,291,60,3,2,5
2022-03-01,6,29,29,198,846,77,1,24,305,60,3,2,7
2022-03-02,7,30,31,211,862,85,1,40,355,60,3,2,9
2022-03-03,8,30,31,217,900,90,1,42,374,60,3,2,11
2022-03-04,9,33,37,251,939,105,1,50,404,60,3,2,18
2022-03-05,10,39,40,269,945,105,1,50,409,60,3,2,19
2022-03-06,11,44,48,285,985,109,1,50,447,60,4,2,21
2022-03-07,12,46,68,290,999,117,1,50,454,60,7,3,23
2022-03-08,13,48,80,303,1036,120,1,56,474,60,7,3,27
